'StableAudit.submitted_alpha_one_ignores_skew' depends on axioms: [propext, Classical.choice, Quot.sound]
'StableAudit.stableS1Expr_power' depends on axioms: [propext, Classical.choice, Quot.sound]
'StableAudit.stableS1Expr_gaussian' depends on axioms: [propext, Classical.choice, Quot.sound]
'StableAudit.stableS1Expr_cauchy' depends on axioms: [propext, Classical.choice, Quot.sound]
'StableAudit.stableS1Expr_at_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditTails.pareto_log_ratio_tendsto' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditTails.pareto_hasFiniteTailExponent' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditTails.tailExponentReal_pareto' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditTails.tailExponentReal_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditTails.real_liminf_of_tendsto_atTop' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditTails.tail_log_ratio_of_ratio_tendsto' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditTails.subexponential_ratio_tailExponent' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditTails.convexOn_rpow_neg_right' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditTails.frechetFormula_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditTails.frechet_formula_maxstable' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditTails.frechet_cdf_maxstable' depends on axioms: [propext, Classical.choice, Quot.sound]
'AuditTails.gumbel_maxstable' depends on axioms: [propext, Classical.choice, Quot.sound]
'Taleb.Proof01.repaired' depends on axioms: [propext, Classical.choice, Quot.sound]
'Taleb.Proof02.repaired' depends on axioms: [propext, Classical.choice, Quot.sound]
'Taleb.Proof03.repaired' depends on axioms: [propext, Classical.choice, Quot.sound]
'Taleb.Proof04.repaired' depends on axioms: [propext, Classical.choice, Quot.sound]
'Taleb.Proof05.repaired' depends on axioms: [propext, Classical.choice, Quot.sound]
'Taleb.Proof06.repaired' depends on axioms: [propext, Classical.choice, Quot.sound]
'Taleb.Proof07.repaired' depends on axioms: [propext, Classical.choice, Quot.sound]
'Taleb.Proof08.repaired' depends on axioms: [propext, Classical.choice, Quot.sound]
'Taleb.Proof09.repaired' depends on axioms: [propext, Classical.choice, Quot.sound]
'Taleb.Proof10.repaired' depends on axioms: [propext, Classical.choice, Quot.sound]
'Taleb.Proof11.repaired' depends on axioms: [propext, Classical.choice, Quot.sound]
'Taleb.Proof12.repaired' depends on axioms: [propext, Classical.choice, Quot.sound]
'Taleb.Proof13.repaired' depends on axioms: [propext, Classical.choice, Quot.sound]
'Taleb.Proof14.repaired' depends on axioms: [propext, Classical.choice, Quot.sound]
'Taleb.Proof15.repaired' depends on axioms: [propext, Classical.choice, Quot.sound]
'Taleb.Proof16.repaired' depends on axioms: [propext, Classical.choice, Quot.sound]
